GO_term	genomefreq	chrXXfreq
GO:0006094	4	0
GO:0003934	2	0
GO:0046654	2	0
GO:0005681	8	0
GO:0051205	2	0
GO:0006471	7	6
GO:0004496	1	0
GO:0018342	1	0
GO:0008318	1	0
GO:0004825	2	0
GO:0006431	2	0
GO:0006596	1	0
GO:0019905	1	0
GO:0071586	1	0
GO:0004075	5	0
GO:0000737	1	0
GO:0005694	6	0
GO:0016866	1	0
GO:0000213	3	0
GO:0006388	5	0
GO:0006423	1	0
GO:0004817	1	0
GO:0016429	2	0
GO:0000154	1	0
GO:0000179	1	0
GO:0008649	2	0
GO:0006228	1	0
GO:0006241	1	0
GO:0004550	1	0
GO:0006183	1	0
GO:0006165	1	0
GO:0000256	2	0
GO:0004037	1	0
GO:0003868	1	0
GO:0016701	4	0
GO:0000439	3	0
GO:0004322	1	0
GO:0004823	2	0
GO:0006429	2	0
GO:1902001	1	0
GO:0051260	1	0
GO:0016925	1	0
GO:0019948	1	0
GO:0048037	4	0
GO:0045263	1	0
GO:0000176	1	0
GO:0003825	1	0
GO:0030328	1	0
GO:0016670	1	0
GO:0001735	1	0
GO:0007623	6	0
GO:0004619	2	0
GO:0006007	1	0
GO:0015631	1	0
GO:0017176	4	0
GO:0005375	3	0
GO:0035434	3	0
GO:0008622	1	0
GO:0000462	1	0
GO:0030515	1	0
GO:0004424	1	0
GO:0006526	5	0
GO:0004358	1	0
GO:0004055	3	0
GO:0031418	5	0
GO:0050353	1	0
GO:0045329	1	0
GO:0003862	2	0
GO:0004392	1	0
GO:0006788	1	0
GO:0004602	1	0
GO:0019988	1	0
GO:0043399	1	0
GO:0019789	6	0
GO:0000077	7	0
GO:0010998	1	0
GO:0004694	1	0
GO:0003995	16	0
GO:0043141	2	0
GO:0045502	1	0
GO:0010970	1	0
GO:0008312	4	0
GO:0006614	5	0
GO:0048500	4	0
GO:0004590	1	0
GO:0043169	3	0
GO:0004722	3	0
GO:0006827	3	0
GO:0033573	3	0
GO:0004748	1	0
GO:0007059	3	1
GO:0034508	2	0
GO:0004362	1	0
GO:0006749	3	0
GO:0016668	2	0
GO:0016833	4	0
GO:0033588	4	0
GO:0004648	1	0
GO:0016043	1	0
GO:0030896	2	0
GO:0048208	1	0
GO:0006890	4	0
GO:0004525	10	1
GO:0042773	1	0
GO:0042026	2	0
GO:0006450	1	0
GO:0004339	3	0
GO:2001070	3	0
GO:0005976	3	0
GO:0003984	2	0
GO:0009082	5	0
GO:0004372	2	0
GO:0006563	2	0
GO:0006544	3	0
GO:0048193	3	0
GO:0000753	1	0
GO:0006446	1	0
GO:0051103	4	0
GO:0003910	4	0
GO:0071897	3	0
GO:0003909	4	0
GO:0006269	2	0
GO:0003896	2	0
GO:0008410	4	0
GO:0046952	4	0
GO:0000156	1	0
GO:0031429	2	0
GO:0016197	1	0
GO:0038203	1	0
GO:0031932	3	0
GO:0005546	1	0
GO:0008374	5	0
GO:0030127	3	0
GO:0033014	4	0
GO:0004852	1	0
GO:0016972	2	0
GO:0071139	2	0
GO:0005786	1	0
GO:0030942	1	0
GO:0004148	1	0
GO:0043550	1	0
GO:0070772	1	0
GO:0006891	5	0
GO:0005747	2	0
GO:0006120	1	0
GO:0045252	2	0
GO:0004149	2	0
GO:0045033	1	0
GO:0005780	1	0
GO:0003994	3	0
GO:0003843	1	0
GO:0006075	1	0
GO:0000148	1	0
GO:0042149	1	0
GO:0003980	1	0
GO:0005198	8	0
GO:0030126	4	0
GO:0005838	1	0
GO:0004064	2	0
GO:0016813	6	0
GO:0042128	8	0
GO:0015299	7	0
GO:0006952	2	0
GO:0003883	1	0
GO:0003877	3	0
GO:0004594	2	0
GO:0015937	3	0
GO:0043190	1	0
GO:0006635	1	0
GO:0003997	1	0
GO:0050364	3	0
GO:0009820	3	0
GO:0016712	2	0
GO:0046353	1	0
GO:0046677	2	0
GO:0006974	5	0
GO:0007076	3	0
GO:0004719	1	0
GO:0007034	8	0
GO:0003871	3	0
GO:0019083	1	0
GO:0005685	2	0
GO:0006376	1	0
GO:0003729	5	0
GO:0009446	2	0
GO:0004668	3	0
GO:0006422	2	0
GO:0004815	2	0
GO:0017089	1	0
GO:0046836	1	0
GO:0051861	1	0
GO:0009395	5	0
GO:0004620	5	0
GO:0030529	4	0
GO:0006452	1	0
GO:0045901	2	0
GO:0045905	2	0
GO:0043546	1	0
GO:0050464	1	0
GO:0006809	1	0
GO:0015369	6	1
GO:0046907	3	0
GO:0022904	1	0
GO:0004042	1	0
GO:0004121	1	0
GO:0071266	1	0
GO:0007010	1	0
GO:0006887	2	0
GO:0004652	2	0
GO:0031123	2	0
GO:0043631	2	0
GO:0051276	3	0
GO:0032012	4	0
GO:0005086	4	0
GO:0000340	1	0
GO:0005794	9	2
